Unnamed: 0,தமிழ் குறள்,ENGLISH VERSE,தமிழ் விளக்கம்,ENGLISH EXPLANATION,Chapters (Adhikarams),அதிகாரம்,இயல்  ,Subdivisions (Iyals),Section (Paal),பால்
385,இயற்றலும் ஈட்டலுங் காத்தலுங் காத்த வகுத்தலும் வல்ல தரசு,"Strategizing, earning revenues, preserving  and allocating
resources : a government should be capable of","பொருள் வரும் வழிகளை மேன்மேலும் இயற்றலும் வந்த பொருள்களைச் சேர்த்தலும், காத்தலும் காத்தவற்றை வகுத்துச் செலவு செய்தலும் வல்லவன் அரசன்","A king is he who treasure gains, stores up, defends,
And duly for his kingdom's weal expends.
He is a king who is able to acquire (wealth), to lay it up, to guard, and to distribute it.",The Greatness of a King,இறைமாட்சி,அரசியல்,Royalty,WEALTH,பொருட்பால்
386,காட்சி கெளியன் கடுஞ்சொல்லன் அல்லனேல் மீக்கூறும் மன்னன் நிலம்,"The world will eulogize a ruler , who is
easily accessible and refrains from rude rebukes.",காண்பதற்கு எளியவனாய்க் கடுஞ்சொல் கூறாதவாய் இருந்தால் அந்த மன்னனுடைய ஆட்சிக்கு உட்பட்ட நாட்டை உலகம் புகழும்.,"Where king is easy of access, where no harsh word repels,
That land's high praises every subject swells.
The whole world will exalt the country of the king who is easy of access, and who is free from harsh language.",The Greatness of a King,இறைமாட்சி,அரசியல்,Royalty,WEALTH,பொருட்பால்
387,இன்சொலால் ஈத்தளிக்க வல்லாற்குத் தன்சொலால் தான்கண் டனைத்திவ் வுலகு,"For those who, with sweet words, are capable of giving generously
and protecting their people, the world is how they wish it to be.	",இனியச் சொற்களுடன் தக்கவர்க்குப் பொருளை உதவிக் காக்க வல்ல அரசனுக்கு இவ்வுலகம் தன் புகழோடு தான் கருதியபடி அமைவதாகும்.,"With pleasant speech, who gives and guards with powerful liberal hand,
He sees the world obedient all to his command.
The world will praise and submit itself to the mind of the king who is able to give with affability, and to protect all who come to him.",The Greatness of a King,இறைமாட்சி,அரசியல்,Royalty,WEALTH,பொருட்பால்
388,முறைசெய்து காப்பாற்றும் மன்னவன் மக்கட் கிறையென்று வைக்கப் படும்,"A righteous king who renders justice, and nurtures his people,
will be hailed as an almighty leader.","நீதி முறை செய்து குடிமக்களைக் காப்பாற்றும் மன்னவன், மக்களுக்கு தலைவன் என்றுக் கருதித் தனியே மதிக்கப்படுவான்.","Who guards the realm and justice strict maintains,
That king as god o'er subject people reigns.
That king, will be esteemed a God among men, who performs his own duties, and protects (his subjects).",The Greatness of a King,இறைமாட்சி,அரசியல்,Royalty,WEALTH,பொருட்பால்
389,செவிகைப்பச் சொற்பொறுக்கும் பண்புடை வேந்தன் கவிகைக்கீழ்த் தங்கு முலகு,"The leader who heeds to counsel that stings the ear,
will have the world rest under his sceptre.",குறைகூறுவோறின் சொற்களைக் செவிகைக்கும் நிலையிலும் பொறுக்கின்ற பண்பும் உடைய அரசனது குடைநிழலில் உலகம் தங்கும்.,"The king of worth, who can words bitter to his ear endure,
Beneath the shadow of his power the world abides secure.
The whole world will dwell under the umbrella of the king, who can bear words that embitter the ear.",The Greatness of a King,இறைமாட்சி,அரசியல்,Royalty,WEALTH,பொருட்பால்
390,கொடையளி செங்கோல் குடியோம்பல் நான்கும் உடையானாம் வேந்தர்க் கொளி,"Charity, love, justice and safeguarding the people:
who has these four is the guiding light for all leaders.","கொடை, அருள், செங்கோல்முறை, தளர்ந்த குடிமக்களைக்காத்தல் ஆகிய நான்கும் உடைய அரசன், அரசர்க்கெல்லாம் விளக்குப் போன்றவன்.","Gifts, grace, right sceptre, care of people's weal;
These four a light of dreaded kings reveal.
He is the light of kings who has there four things, beneficence, benevolence, rectitude, and care for his people.",The Greatness of a King,இறைமாட்சி,அரசியல்,Royalty,WEALTH,பொருட்பால்
391,கற்க கசடறக் கற்பவை கற்றபின் நிற்க அதற்குத் தக,"Learn, what is to be learnt, with no flaws; once learnt,
stand by what you learned.","கல்வி கற்க நல்ல நூல்களைக் குற்றமறக் கற்க வேண்டும், அவ்வாறு கற்ற பிறகு, கற்ற கல்விக்கு தக்கவாறு நெறியில் நிற்க வேண்டும்.","So learn that you may full and faultless learning gain,
Then in obedience meet to lessons learnt remain.
Let a man learn thoroughly whatever he may learn, and let his conduct be worthy of his learning",Learning,கல்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
392,எண்ணென்ப ஏனை யெழுத்தென்ப இவ்விரண்டுங் கண்ணென்ப வாழும் உயிர்க்கு,"Numbers and letters, they are known as;
eyes to humans, they are.",எண் என்று சொல்லப்படுவன எழுத்து என்று சொல்லப்படுவன ஆகிய இரு வகைக் கலைகளையும் வாழும் மக்களுக்குக் கண்கள் என்று கூறுவர்.,"The twain that lore of numbers and of letters give
Are eyes, the wise declare, to all on earth that live.
Letters and numbers are the two eyes of man.",Learning,கல்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
393,கண்ணுடைய ரென்பவர் கற்றோர் முகத்திரண்டு புண்ணுடையர் கல்லா தவர்,"The erudite have eyes; the ignorant
have on their faces, two gashes.",உவப்பத் தலைக்கூடி உள்ளப் பிரிதல் அனைத்தே புலவர் தொழில்,"Men who learning gain have eyes, men say;
Blockheads' faces pairs of sores display.
The learned are said to have eyes, but the unlearned have (merely) two sores in their face.",Learning,கல்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
394,உவப்பத் தலைக்கூடி உள்ளப் பிரிதல் அனைத்தே புலவர் தொழில்,"Elation when they meet, and nostalgia when they part,
are effects of the erudite’s deeds.",மகிழும் படியாகக் கூடிபழகி (இனி இவரை எப்போது காண்போம் என்று ) வருந்தி நினைக்கும் படியாகப் பிரிதல் புலவரின் தொழிலாகும்.,"You meet with joy, with pleasant thought you part;
Such is the learned scholar's wonderous art!
It is the part of the learned to give joy to those whom they meet, and on leaving, to make them think (Oh! when shall we meet them again.)",Learning,கல்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
395,உடையார்முன் இல்லார்போல் ஏக்கற்றுங் கற்றார் கடையரே கல்லா தவர்,"Learned are those, who, like the poor before rich, stay humble before others, lovingly, to learn;
those who thus don’t learn are lowly.","செல்வர் முன் வறியவர் நிற்பது போல் (கற்றவர்முன்) ஏங்கித் தாழ்ந்து நின்றும் கல்விக் கற்றவரே உயர்ந்தவர், கல்லாதவர் இழிந்தவர்.","With soul submiss they stand, as paupers front a rich man's face;
Yet learned men are first; th'unlearned stand in lowest place.
The unlearned are inferior to the learned, before whom they stand begging, as the destitute before the wealthy.",Learning,கல்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
396,தொட்டனைத் தூறு மணற்கேணி மாந்தர்க்குக் கற்றனைத் தூறும் அறிவு,"The deeper a well is dug, the more the water that springs;
the more one learns, the more the wisdom it brings.","மணலில் உள்ள கேணியில் தோண்டிய அளவிற்க்கு நீர் ஊறும், அதுபோல் மக்களின் கற்றக் கல்வியின் அளவிற்கு அறிவு ஊறும்","In sandy soil, when deep you delve, you reach the springs below;
The more you learn, the freer streams of wisdom flow.
Water will flow from a well in the sand in proportion to the depth to which it is dug, and knowledge will flow from a man in proportion to his learning.",Learning,கல்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
397,யாதானும் நாடாமால் ஊராமால் என்னொருவன் சாந்துணையுங் கல்லாத வாறு,"For the learned, every nation is their nation; and every place their place;
why then, does one shun learning till death.","கற்றவனுக்கு தன் நாடும் ஊரும் போல வேறு எதுவாயினும் நாடாகும், ஊராகும் ஆகையால் ஒருவன் சாகும் வரையில் கல்லாமல் காலங்கழிப்பது ஏன்.","The learned make each land their own, in every city find a home;
Who, till they die; learn nought, along what weary ways they roam!
How is it that any one can remain without learning, even to his death, when (to the learned man) every country is his own (country), and every town his own (town) ?",Learning,கல்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
398,ஒருமைக்கண் தான்னற்ற கல்வி ஒருவற் கெழுமையும் ஏமாப் புடைத்து,"Learning acquired once will
stand in good stead for seven births.",ஒரு பிறப்பில் தான் கற்றக் கல்வியானது அப்பிறப்பிற்கு மட்டும் அல்லாமல் அவனுக்கு ஏழுபிறப்பிறப்பிலும் உதவும் தன்மை உடையது.,"The man who store of learning gains,
In one, through seven worlds, bliss attains.
The learning, which a man has acquired in one birth, will yield him pleasure during seven births.",Learning,கல்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
399,தாமின் புறுவ துலகின் புறக்கண்டு காமுறுவர் கற்றறிந் தார்,"Seeing that what they enjoy, the world enjoys too,
the erudite fall more in love with learning.","தாம் இன்புறுவதற்குக் காரணமான கல்வியால் உலகமும் இன்புறுவதைக் கண்டு, கற்றறிந்த அறிஞர் மேன்மேலும் (அக் கல்வியையே) விரும்புவர்.","Their joy is joy of all the world, they see; thus more
The learners learn to love their cherished lore.
The learned will long (for more learning), when they see that while it gives pleasure to themselves, the world also derives pleasure from it.",Learning,கல்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
400,கேடில் விழுச் செல்வங் கல்வி யொருவற்கு மாடல்ல மற்றை யவை,"Learning is the indestructubile, and significant, wealth;
other riches are not true wealth.","ஒருவனுக்கு அழிவு இல்லாத சிறந்த செல்வம் கல்வியே ஆகும், கல்வியைத் தவிர மற்றப் பொருள்கள் (அத்தகைய சிறப்புடைய) செல்வம் அல்ல.","Learning is excellence of wealth that none destroy;
To man nought else affords reality of joy.
Learning is the true imperishable riches; all other things are not riches.
",Learning,கல்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
401,அரங்கின்றி வட்டாடி யற்றே நிரம்பிய நூலின்றிக் கோட்டி கொளல்,"Speaking before an audience, without reading relevant books,
is like rolling the dice without drawing the squares.","அறிவு நிரம்புவதற்குக் காரணமானக் நூல்களைக் கற்காமல் கற்றவரிடம் சென்று பேசதல், சூதாடும் அரங்கு இழைக்காமல் வட்டுக்காயை உருட்டிஆடினார் போன்றது.","Like those at draughts would play without the chequered square,
Men void of ample lore would counsels of the learned share.
To speak in an assembly (of the learned) without fullness of knowledge, is like playing at chess (on a board) without squares.",Ignorance,கல்லாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
402,கல்லாதான் சொற்கா முறுதன் முலையிரண்டும் இல்லாதாள் பெண்காமுற் றற்று,"An illiterate wishing to make a speech is like
a breastless androgyne wishing to become a woman.","(கற்றவரின் அவையில்) கல்லாதவன் ஒன்றைச் சொல்ல விரும்புதல், முலை இரண்டும் இல்லாதவள் பெண் தன்மையை விரும்பினாற் போன்றது","Like those who doat on hoyden's undeveloped charms are they,
Of learning void, who eagerly their power of words display.
The desire of the unlearned to speak (in an assembly), is like a woman without breasts desiring (the enjoyment of ) woman-hood.",Ignorance,கல்லாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
403,கல்லா தவரும் நனிநல்லர் கற்றார்முன் சொல்லா திருக்கப் பெறின்,"Even the ignorant will be considered good
if they shut themselves up before the learned.",கற்றவரின் முன்னிலையில் ஒன்றையும் சொல்லாமல் அமைதியாக இருக்கப் பெற்றால் கல்லாதவர்களும் மிகவும் நல்லவரே ஆவார்.,"The blockheads, too, may men of worth appear,
If they can keep from speaking where the learned hear!
The unlearned also are very excellent men, if they know how to keep silence before the learned.",Ignorance,கல்லாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
404,கல்லாதான் ஒட்பங் கழியநன் றாயினுங் கொள்ளார் அறிவுடை யார்,"Even the ignorant will be considered good
if they shut themselves up before the learned.",கல்லாதவனுடைய அறிவுடைய ஒருக்கால் மிக நன்றாக இருந்தாலும் அறிவுடையோர் அதனை அறிவின் பகுதியாக ஏற்றுக்கொள்ள மாட்டார்.,"From blockheads' lips, when words of wisdom glibly flow,
The wise receive them not, though good they seem to show.
Although the natural knowledge of an unlearned man may be very good, the wise will not accept for true knowledge.",Ignorance,கல்லாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
405,கல்லா ஒருவன் தகைமை தலைப்பெய்து சொல்லாடச் சோர்வு படும்,"The vanity of the ignorant vanishes,
when they start speaking in a gathering.",கல்லாதவன் ஒருவன் தன்னைத்தான் மகிழ்ந்து பேசும் மதிப்பு ( கற்றவரிடம்) கூடிபேசும் போது அப்பேசினால் கெடும்.,"As worthless shows the worth of man unlearned,
When council meets, by words he speaks discerned.
The self-conceit of an unlearned man will fade away, as soon as he speaks in an assembly (of thelearned).",Ignorance,கல்லாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
406,உளரென்னும் மாத்திரைய ரல்லால் பயவாக் களரனையர் கல்லா தவர்,"The illiterate are seen as existing to fill space;
they are like barren waste lands.",கல்லாதவர் உயிரோடிருக்கின்றனர் என்று சொல்லப்படும் அளவினரே அல்லாமல் ஒன்றும் விளையாத களர் நிலத்திற்கு ஒப்பாவர்.,"They are': so much is true of men untaught;
But, like a barren field, they yield us nought!
The unlearned are like worthless barren land: all that can be said of them is, that they exist.",Ignorance,கல்லாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
407,நுண்மாண் நுழைபுல மில்லான் எழினலம் மண்மாண் புனைபாவை யற்று,"A person who has no in-depth learning and intellectual acumen,
is as impressive as a doll made of mud.",நுட்பமானதாய் மாட்சியுடையதாய் ஆராய வல்லவான அறிவு இல்லாதவனுடைய எழுச்சியான அழகு மண்ணால் சிறப்பாகப் புனையப்பட்ட பாவை போன்றது.,"Who lack the power of subtle, large, and penetrating sense,
Like puppet, decked with ornaments of clay, their beauty's vain pretence.
The beauty and goodness of one who is destitute of knowledge by the study of great and exquisite works, is like (the beauty and goodness) of a painted earthen doll.
",Ignorance,கல்லாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
408,நல்லார்கண் பட்ட வறுமையின் இன்னாதே கல்லார்கண் பட்ட திரு,"Not even the penury of the good is as pernicious as
the wealth that has fallen on the ignorant.","கல்லாதவனிடம் சேர்ந்துள்ள செல்வமானது, கற்றறிந்த நல்லவரிடம் உள்ள வறுமையைவிட மிகத்துன்பம் செய்வதாகும்.","To men unlearned, from fortune's favour greater-evil springs
Than poverty to men of goodly wisdom brings.
Wealth, gained by the unlearned, will give more sorrow than the poverty which may come upon the learned.
",Ignorance,கல்லாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
409,மேற்பிறந்தா ராயினுங் கல்லாதார் கீழ்ப்பிறந்துங் கற்றா ரனைத்திலர் பாடு,"The uneducated maybe of higher birth; but they are not respected as much as
the learned men born in low classes.",கல்லாதவர் உயர்ந்த குடியில் பிறந்தவராக இருப்பினும் தாழ்ந்த குடியில் பிறந்திருந்தும் கல்விக் கற்றவரைப் போன்ற பெருமை இல்லாதவரே,"Lower are men unlearned, though noble be their race,
Than low-born men adorned with learning's grace.
The unlearned, though born in a high caste, are not equal in dignity to the learned; though they may have been born in a low caste.",Ignorance,கல்லாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
410,விலங்கொடு மக்க ளனையர் இலங்குநூல் கற்றாரோ டேனை யவர்,"Animal amongst men are those uneducated
amongst the erudite.","அறிவு விளங்குதற்குக் காரணமான நூல்களைக் கற்றவரோடுக் கல்லாதவர், மக்களோடு விலங்குகளுக்கு உள்ள அவ்வளவு வேற்றுமை உடையவர்.","Learning's irradiating grace who gain,
Others excel, as men the bestial train.
As beasts by the side of men, so are other men by the side of those who are learned in celebrated works.",Ignorance,கல்லாமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
411,செல்வத்துட் செல்வஞ் செவிச்செல்வம் அச்செல்வஞ் செல்வத்து ளெல்லாந் தலை,"The richness of the ear is the wealth amongst all wealth,
the foremost wealth.","செவியால் கேட்டறியும் செல்வம், செல்வங்களுள் ஒன்றாகப் போற்றப்படும் செல்வமாகும், அச் செல்வம் செல்வங்கள் எல்லாவற்றிலும் தலையானதாகும்.","Wealth of wealth is wealth acquired be ear attent;
Wealth mid all wealth supremely excellent.
Wealth (gained) by the ear is wealth of wealth; that wealth is the chief of all wealth.",Hearing,கேள்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
412,செவிக்குண வில்லாத போழ்து சிறிது வயிற்றுக்கும் ஈயப் படும் ,"When food there is none for the ear,
spare a little for the belly.",செவிக்கு கேள்வியாகிய உணவு இல்லாத போது (அதற்க்கு துணையாக உடலை ஒப்புமாறு) வயிற்றுக்கும் சிறிது உணவு தரப்படும்.,"When 'tis no longer time the listening ear to feed
With trifling dole of food supply the body's need.
When there is no food for the ear, give a little also to the stomach.
",Hearing,கேள்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
413,செவியுணவிற் கேள்வி யுடையார் அவியுணவின் ஆன்றாரோ டொப்பர் நிலத்து,"Those who can feed aurally through listening,
are equal, in this world, to the noble beings devouring divine food.",செவியுணவாகிய கேள்வி உடையவர் நிலத்தில் வாழ்கின்றவரே ஆயினும் அவி உணவைக் கொள்ளும் தேவரோடு ஒப்பாவார்.,"Who feed their ear with learned teachings rare,
Are like the happy gods oblations rich who share.
Those who in this world enjoy instruction which is the food of the ear, are equal to the Gods, who enjoy the food of the sacrifices.",Hearing,கேள்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
414,கற்றில னாயினுங் கேட்க அஃதொருவற் கொற்கத்தின் ஊற்றாந் துணை,"Even if you can’t learn by reading, listen; it is
the crutch in times of crisis.","நூல்களைக் கற்றவில்லையாயினும், கற்றறிந்தவர்களிடம் கேட்டறிய வேண்டும், அது ஒருவனுக்கு வாழ்க்கையில் தளர்ச்சி வந்த போது ஊன்றுகோல் போல் துணையாகும்.","Though learning none hath he, yet let him hear alway:
In weakness this shall prove a staff and stay.
Although a man be without learning, let him listen (to the teaching of the learned); that will be to him a staff in adversity.",Hearing,கேள்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
415,இழுக்க லுடையுழி ஊற்றுக்கோ லற்றே ஒழுக்க முடையார்வாய்ச் சொல்,"A steadying staff on a skiddy surface, are the words
of those who possess utmost propriety.","ஒழுக்கமுடைய சான்றோரின் வாய்ச் சொற்கள், வழுக்கல் உடைய சேற்று நிலத்தில் ஊன்றுகோல் போல் வாழ்க்கையில் உதவும்.","Like staff in hand of him in slippery ground who strays
Are words from mouth of those who walk in righteous ways.
The words of the good are like a staff in a slippery place.",Hearing,கேள்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
416,எனைத்தானும் நல்லவை கேட்க அனைத்தானும் ஆன்ற பெருமை தரும்,"Listen to the good; doesn’t matter, how much;
whatever be the quantum, immense greatness, it will bring.","எவ்வளவு சிறிதே ஆயினும் நல்லவற்றைக் கேட்டறிய வேண்டும், கேட்ட அந்த அளவிற்கு அவை நிறைந்த பெருமையைத் தரும்.","Let each man good things learn, for e'en as he
Shall learn, he gains increase of perfect dignity.
Let a man listen, never so little, to good (instruction), even that will bring him great dignity.",Hearing,கேள்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
417,பிழைத்துணர்ந்தும் பேதைமை சொல்லா ரிழைத்துணர்ந் தீண்டிய கேள்வி யவர்,"Misconstrue they may, but, ludicrous words, they will not utter:
those who’ve always listened, analysed, and learnt.","நுட்பமாக உணர்ந்து நிறைந்த கேள்வியறிவை உடையவர், ( ஒரு கால் பொருள்களைத்) தவறாக உணர்ந்திருந்தாலும் பேதைமையானவற்றைச் சொல்லார்.","Not e'en through inadvertence speak they foolish word,
With clear discerning mind who've learning's ample lessons heard.
Not even when they have imperfectly understood (a matter), will those men speak foolishly, who have profoundly studied and diligently listened (to instruction).",Hearing,கேள்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
418,கேட்பினுங் கேளாத் தகையவே கேள்வியால் தோட்கப் படாத செவி,"Hear, they can; but deaf they are:
the ears that are not pierced by aural learning (*kelvi*).","கேள்வியறிவால் துளைக்கப் படாத செவிகள், ( இயற்கையான துளைகள் கொண்டு ஓசையைக்) கேட்டறிந்தாலும் கேளாத செவிட்டுத் தன்மை உடையனவே.","Where teaching hath not oped the learner's ear,
The man may listen, but he scarce can hear.
The ear which has not been bored by instruction, although it hears, is deaf.",Hearing,கேள்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
419,நுணங்கிய கேள்விய ரல்லார் வணங்கிய வாயின ராத லரிது,"Unless one is an intense, attentive aural learner, it is unlikely
that one will be have a humble tongue.","நுட்பமான பொருள்களைக் கேட்டறிந்தவர் அல்லாத மற்றவர், வணக்கமானச் சொற்களைப் பேசும் வாயினை உடையவராக முடியாது.","Tis hard for mouth to utter gentle, modest word,
When ears discourse of lore refined have never heard.
It is a rare thing to find modesty, a reverend mouth- with those who have not received choice instruction.",Hearing,கேள்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
420,செவியிற் சுவையுணரா வாயுணர்வின் மாக்கள் அவியினும் வாழினு மென்,"Those beings who know the taste, only of the tongue,and not of the ear :
does it matter whether die or live?","செவியால் கேள்விச் சுவை உணராமல் வாயின் சுவையுணர்வு மட்டும் உடைய மக்கள், இறந்தாலும் என்ன, உயிரோடு வாழ்ந்தாலும் என்ன.","His mouth can taste, but ear no taste of joy can give!
What matter if he die, or prosperous live?
What does it matter whether those men live or die, who can judge of tastes by the mouth, and not by the ear ?",Hearing,கேள்வி,அரசியல்,Royalty,WEALTH,பொருட்பால்
421,அறிவற்றங் காக்குங் கருவி செறுவார்க்கும் உள்ளழிக்க லாகா அரண்,"Wisdom is the shield against suffering; and the fortress,
impregnable and indestructible for the foes.","அறிவு அழிவு வராமல் காக்கும் கருவியாகும், அன்றியும் பகைகொண்டு எதிர்ப்பவர்க்கும் அழிக்க முடியாத உள்ளரணும் ஆகும்.","True wisdom wards off woes, A circling fortress high;
Its inner strength man's eager foes Unshaken will defy.
Wisdom is a weapon to ward off destruction; it is an inner fortress which enemies cannot destroy.",The Possession of Knowledge,அறிவுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
422,சென்ற இடத்தாற் செலவிடா தீதொரீஇ நன்றின்பா லுய்ப்ப தறிவு,"Without letting the mind to wander on its own will,
wisdom steers it away from harm, and towards good.","மனத்தை சென்ற இடத்தில் செல்லவிடாமல், தீமையானதிலிருந்து நீக்கிக் காத்து நன்மையானதில் செல்லவிடுவதே அறிவாகும்.","Wisdom restrains, nor suffers mind to wander where it would;
From every evil calls it back, and guides in way of good.
Not to permit the mind to go where it lists, to keep it from evil, and to employ it in good, this is wisdom.",The Possession of Knowledge,அறிவுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
423,எப்பொருள் யார்யார்வாய்க் கேட்பினும் அப்பொருள் மெய்ப்பொருள் காண்ப தறிவு,"Whatever whoever may say, listen to it,
and wisdom is to comprehend the true meaning of it.",எப்பொருளை யார் யார் இடம் கேட்டாலும் (கேட்டவாறே கொள்ளாமல்) அப் பொருளின் மெய்யானப் பொருளைக் காண்பதே அறிவாகும்.,"Though things diverse from divers sages' lips we learn,
'Tis wisdom's part in each the true thing to discern.
To discern the truth in every thing, by whomsoever spoken, is wisdom.",The Possession of Knowledge,அறிவுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
424,எண்பொருள வாகச் செலச்சொல்லித் தான்பிறர்வாய் நுண்பொருள் காண்ப தறிவு,"Wisdom is to keep it simple for your audience,
and to comprehend complexities in others’ speech.","தான் சொல்லுவன எளிய பொருளையுடையனவாகப் பதியுமாறு சொல்லி, தான் பிறரிடம் கேட்பவற்றின் நுட்பமானப் பொருளையும் ஆராய்ந்து காண்பது அறிவாகும்.","Wisdom hath use of lucid speech, words that acceptance win,
And subtle sense of other men's discourse takes in.
To speak so as that the meaning may easily enter the mind of the hearer, and to discern the subtlest thought which may lie hidden in the words of others, this is wisdom.",The Possession of Knowledge,அறிவுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
425,உலகந் தழீஇய தொட்பம் மலர்தலுங் கூம்பலு மில்ல தறிவு,"Wisdom, it is to embrace the world, and not to be
overtly delighted or dismayed.","உலகத்து உயர்ந்தவரை நட்பாக்கி கொள்வது சிறந்த அறிவு, முன்னே மகிழ்ந்து விரிதலும் பின்னே வருந்திக் குவிதலும் இல்லாத அறிவு.","Wisdom embraces frank the world, to no caprice exposed;
Unlike the lotus flower, now opened wide, now petals strictly closed.
To secure the friendship of the great is true wisdom; it is (also) wisdom to keep (that friendship unchanged, and) not opening and closing (like the lotus flower).",The Possession of Knowledge,அறிவுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
426,எவ்வ துறைவ துலக முலகத்தோ டவ்வ துறைவ தறிவு,"What the world conforms to, wisdom lies in
conforming to those.","உலகம் எவ்வாறு நடைபெறுகின்றதோ, உலகத்தோடு பொருந்திய வகையில் தானும் அவ்வாறு நடப்பதே அறிவாகும்.","As dwells the world, so with the world to dwell
In harmony- this is to wisely live and well.
T o live as the world lives, is wisdom.",The Possession of Knowledge,அறிவுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
427,அறிவுடையார் ஆவ தறிவார் அறிவிலார் அஃதறி கல்லா தவர்,"The wise anticipate the outcomes;
unwise are those who can’t.","அறிவுடையோர் எதிர்காலத்தில் நிகழப்போவதை முன்னே எண்ணி அறியவல்லார், அறிவில்லாதவர் அதனை அறிய முடியாதவர்.","The wise discern, the foolish fail to see,
And minds prepare for things about to be.
The wise are those who know beforehand what will happen; those who do not know this are the unwise.",The Possession of Knowledge,அறிவுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
428,அஞ்சுவ தஞ்சாமை பேதைமை அஞ்சுவ தஞ்சல் அறிவார் தொழில்,"It is foolish, not to fear, what ought to be feared;
the wise fear those that must be feared.","அஞ்சத்தக்கதைக் கண்டு அஞ்சாதிருப்பது அறியாமையாகும், அஞ்சத் தக்கதைக் கண்டு அஞ்சுவதே அறிவுடையவரின் தொழிலாகும்.","Folly meets fearful ills with fearless heart;
To fear where cause of fear exists is wisdom's part.
Not to fear what ought to be feared, is folly; it is the work of the wise to fear what should be feared.",The Possession of Knowledge,அறிவுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
429,எதிரதாக் காக்கும் அறிவினார்க் கில்லை அதிர வருவதோர் நோய்,"The wise who are perceptive and take preventive measures,
will not be staggered by any harm.","வரப்போவதை முன்னே அறிந்து காத்துக் கொள்ளவல்ல அறிவுடையவர்க்கு, அவர் நடுங்கும் படியாக வரக்கூடிய துன்பம் ஒன்றும் இல்லை.","The wise with watchful soul who coming ills foresee;
From coming evil's dreaded shock are free.
No terrifying calamity will happen to the wise, who (foresee) and guard against coming evils.",The Possession of Knowledge,அறிவுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
430,அறிவுடையார் எல்லா முடையார் அறிவிலார் என்னுடைய ரேனு மிலர்,"The wise have everything; the unwise have nothing,
irrespective of whatever they may possess.","அறிவுடையவர் (வேறொன்றும் இல்லாதிருப்பினும்) எல்லாம் உடையவரே ஆவர், அறிவில்லாதவர் வேறு என்ன உடையவராக இருப்பினும் ஒன்றும் இல்லாதவரே ஆவர்.","The wise is rich, with ev'ry blessing blest;
The fool is poor, of everything possessed.
Those who possess wisdom, possess every thing; those who have not wisdom, whatever they may possess, have nothing.",The Possession of Knowledge,அறிவுடைமை,அரசியல்,Royalty,WEALTH,பொருட்பால்
431,செருக்குஞ் சினமுஞ் சிறுமையும் இல்லார் பெருக்கம் பெருமித நீர்த்து,"Those who lack arrogance, wrath and pettiness:
wealth, in their hands, assumes dignity.",செருக்கும் சினமும் காமமும் ஆகிய இந்தக் குற்றங்கள் இல்லாதவனுடைய வாழ்வில் காணும் பெருக்கம் மேம்பாடு உடையதாகும்.,"Who arrogance, and wrath, and littleness of low desire restrain,
To sure increase of lofty dignity attain.
Truly great is the excellence of those (kings) who are free from pride, anger, and lust.", The Correction of Faults,குற்றங்கடிதல்,அரசியல்,Royalty,WEALTH,பொருட்பால்
